"Clinic Name","Doctor Name","City","Specialty","Instagram Handle","Phone Number","WhatsApp Number","Website","Google Rating","Review Count","Pain Signal","ICP Score"
"Al Abrah Clinic","","Dubai","","","+971 4 2368686","","","","","",""
"Al Zahra Pvt Medical Centre","","Dubai","","","+971 4 3315000","","","","","",""
"Alabama Dental Center","","Dubai","","","+971 4 3944444","","","","","",""
"Amal Specialized Dental Clinic","","Dubai","","","+971 4 3322226","","","","","",""
"American Dental Clinic","","Dubai","","","+971 4 3440668","","","","","",""
"American Medical & Dental Center","","Dubai","","","+971 4 3755391","","","","","",""
"Bin Arab Dental Centre","","Dubai","","","+971 4 3444444","","","","","",""
"British Dental Clinic","","Dubai","","","+971 4 3421313","","","","","",""
"Canadian Specialized Dental Center","","Dubai","","","+971 4 4298228","","","","","",""
"Charly Polyclinic","","Dubai","","","+971 4 3352722","","","","","",""
"Clover Medical Centre","","Dubai","","","+971 4 2633603","","","","","",""
"CosmeSurge","","Dubai","","","+971 4 3445915","","","","","",""
"Dental Art Clinic","","Dubai","","","+971 4 3944033","","","","","",""
"Dental Studio","","Dubai","","","058 5111111","","","","","",""
"Dentamax Medical Center","","Dubai","","","+971 4 2678910","","","","","",""
"Dr Biju'S Implantology Dental Clinic","","Dubai","","","+971 4 2589012","","","","","",""
"Dr Pauls Dental Clinic","","Dubai","","","+971 4 3575785","","","","","",""
"Dr Pauls Dental Clinic LLC","","Dubai","","","+971 4 3944444","","","","","",""
"Dream Smile Dental Clinic","","Dubai","","","+971 4 5778899","","","","","",""
"DRFK Turkish International Day Surgery Center LLC","","Dubai","","","058 8111111","","","","","",""
"Ferdows Medical Center","","Dubai","","","056 4111111","","","","","",""
"French Dental Clinic","","Dubai","","","+971 4 4298228","","","","","",""
"German Dental & Neuromuscular Clinic","","Dubai","","","+971 4 3755391","","","","","",""
"German Dental Oasis","","Dubai","","","+971 4 3635367","","","","","",""
"Ghodousi Medical Center","","Dubai","","","+971 4 2222222","","","","","",""
"Gulf Medical Centre","","Dubai","","","+971 4 2626000","","","","","",""
"Hadiya Dental Center","","Dubai","","","+971 4 2898888","","","","","",""
"Hamly Medical Centre","","Dubai","","","+971 4 3355555","","","","","",""
"Harmony Medical Center LLC","","Dubai","","","+971 4 3944444","","","","","",""
"Helmi's Specialized Implantology and Dental Center","","M 13, Arabilla Bldg, Abv Dubai Bank, Al Whida St, Deira","","","Dubai","","","","","",""
"Hibah Shata Specialized Dental Clinic","","505, Al Wahda Bldg, Port Saeed, Deira","","","Dubai","","","","","",""
"Hollywod Smile Clinic","","Dubai","","","+971 4 4298228","","","","","",""
"Hollywood Smile Dental Clinic","","Dubai","","","+971 4 3575785","","","","","",""
"Ibn Seina Medical Centre","","Dubai","","","+971 4 2222222","","","","","",""
"Joseph Ghrayeb Medical Centre","","110, Zabeel Bldg, Near GPO, Karama","","","Dubai","","","","","",""
"Jumeira Beach Dental Centre","","Dubai","","","+971 4 3444444","","","","","",""
"Khyber Medical Centre","","Dubai","","","058 5111111","","","","","",""
"La Perla Dental Clinic DMCC","","Dubai","","","+971 4 4355678","","","","","",""
"Leila Hariri Dental & Medical Aesthetics","","Dubai","","","+971 4 3444444","","","","","",""
"Luxe Dental Clinic","","Dubai","","","+971 4 3575785","","","","","",""
"Majed Al Azawi Orthodontic and Dental Center","","Popeyes Bldg, Rigga St, Deira","","","Dubai","","","","","",""
"McBody Clinic LLC","","Dubai","","","+971 4 3888888","","","","","",""
"Modern Dental Clinic","","Dubai","","","+971 4 3635367","","","","","",""
"Mohamed Iqbal Homeopathiq Medical Center","","Karama","","","Dubai","","","","","",""
"Pearl Medical Clinic","","Dubai","","","+971 4 2222222","","","","","",""
"Pretty Smile Dental Clinic","","Dubai","","","+971 4 8888888","","","","","",""
"Providence Dental Centre","","Dubai","","","+971 4 3977555","","","","","",""
"Reveal Medical Center","","Dubai","","","+971 4 3855555","","","","","",""
"Samaa Medical Centre","","Dubai","","","+971 4 3944444","","","","","",""
"Sameday Dental Implants","","Dubai","","","+971 4 3156000","","","","","",""
"Seven Dental Centre","","Dubai","","","+971 4 3944444","","","","","",""
"Sky Clinic Dental Center JLT","","Dubai","","","+971 4 3555555","","","","","",""
"Smile Care Clinic","","Dubai","","","+971 4 3444444","","","","","",""
"Swaid Orthodontic Clinic","","Dubai","","","+971 4 3444444","","","","","",""
"Talass Orthodontic and Dental Center","","Dubai","","","+971 4 3444444","","","","","",""
"The Dental Center FZ LLC","","Dubai","","","+971 4 3755391","","","","","",""
"Top Smile Dental Clinic","","Dubai","","","058 5111111","","","","","",""
"Unique Smile Clinic","","Dubai","","","+971 4 2522222","","","","","",""
"White Smile Dental Clinic","","Dubai","","","+971 4 2522222","","","","","",""
"Ahlan Medical Center","","Sharjah","","","+971 6 5533333","","","","","",""
"Al Afdal Medical Centre","","Sharjah","","","+971 6 5533333","","","","","",""
"Al Jawhara Medical Center","","Sharjah","","","+971 6 5533333","","","","","",""
"Al Waha Medical Centre","","Sharjah","","","056 9111111","","","","","",""
"Alraid Modern Medical Center","","Sharjah","","","+971 6 5533333","","","","","",""
"Doctors Medical Centre","","Sharjah","","","+971 6 5633333","","","","","",""
"Dr. Ahmed Yousry Specialized Dental Clinic","","Sharjah","","","+971 6 5733333","","","","","",""
"German Pearl Specialist Dental Clinic","","Sharjah","","","+971 6 5733333","","","","","",""
"Hannover Medical Center","","Sharjah","","","+971 6 5433333","","","","","",""
"Mouen Junblat Medical Centre","","15, Union Pharmacy Bldg, Jamal Abdul Nasser St","","","Sharjah","","","","","",""
"Nahar Mampilly Medical Centre","","Sharjah","","","+971 6 5633333","","","","","",""
"New Canadian Dental Clinic","","Sharjah","","","+971 6 5533333","","","","","",""
"Shanthi Medical Centre","","Sharjah","","","+971 6 5533333","","","","","",""
"CosmeSurge","","Sharjah","","","+971 6 5233333","","","","","",""
"Advanced American Dental Center","","Abu Dhabi","","","+971 2 6811111","","","","","",""
"Al Dahbi Medical Centre","","Abu Dhabi","","","+971 2 5555555","","","","","",""
"Al Dana Medical and Dental Centre","","Abu Dhabi","","","+971 2 6777777","","","","","",""
"Al Dhabi Dental Clinic LLC","","Abu Dhabi","","","+971 2 5555555","","","","","",""
"Al Farooq Medical and Dental Center","","Abu Dhabi","","","+971 2 6666666","","","","","",""
"Al Jundi Orthodontic Clinic","","Zayed 1st St, Khalidiya","","","Abu Dhabi","","","","","",""
"Al Kamal Medical Centre","","Abu Dhabi","","","+971 2 6666666","","","","","",""
"Al Kenan Dental Clinic","","Abu Dhabi","","","+971 2 6333333","","","","","",""
"Al Noaman Dental Centre","","Abu Dhabi","","","+971 2 6333333","","","","","",""
"Al Safwa Specialized Dental Clinic","","Abu Dhabi","","","+971 2 6222222","","","","","",""
"Al Thuraya Dental and Implant Center","","Abu Dhabi","","","+971 2 4444444","","","","","",""
"Al Worood Medical and Dental Center","","Abu Dhabi","","","+971 2 6333333","","","","","",""
"American Dental Center","","Abu Dhabi","","","+971 2 6222222","","","","","",""
"Appolonia Dental Center","","Abu Dhabi","","","+971 2 6666666","","","","","",""
"Barbara Orthodontic And Dental Polyclinic","","Abu Dhabi","","","+971 2 6222222","","","","","",""
"British Dental Clinic","","Abu Dhabi","","","+971 2 6777777","","","","","",""
