Clinic Name,Location,City,Phone,Products & Services
Abbas Hussain Mohd Clinic, Dr,"Villa no 2, 138 Al Amanzi Spa, Al Shamkha 17",Abu Dhabi,02 6444444,Dental Clinics
Advanced American Dental Center,"Near American Community School, Bateen",Abu Dhabi,02 6811111,Dental Clinics
Al Ahlia Dental Clinic,"301, Yateem Opticals Bldg, Hamdan St",Abu Dhabi,02 6777777,Dental Clinics
Al Areej Dental Clinic,"Mezz. 3, Bldg. No. 13 near Civil Defence, Khalifa A City",Abu Dhabi,02 5555555,Dental Clinics
Al Dafra Speciality Dental Clinic,"Bhnd Liwa Centre, Hamdan St",Abu Dhabi,02 6333333,Dental Clinics
Al Dahbi Medical Centre,"1st Flr, Post Office Bldg, M 10, Mussafah",Abu Dhabi,02 5555555,"Dental Clinics, General Clinics"
Al Dana Medical and Dental Centre,"M-6, Natl Cinema Bldg, Najda St",Abu Dhabi,02 6777777,"Dental Clinics, General Clinics"
Al Dhabi Dental Clinic LLC,"Office No.10, 4Building 253. Shabiya 10, Yaroush Street, Mohamed Bin Zayed City",Abu Dhabi,02 5555555,"Dental Clinics, Dental Treatment, Dental Implant"
Al Dhafra Speciality Dental Clinic,Bhnd Liwa Center,Abu Dhabi,02 6333333,Dental Clinics
Al Farooq Medical and Dental Center,"Near ADCB, Khalidiya St",Abu Dhabi,02 6666666,Dental Clinics
Al Jawahra Dental Clinic,"204, Golden Fork Restaurant Bldg, Khalifa St",Abu Dhabi,02 6222222,Dental Clinics
Al Jundi Orthodontic Clinic, Dr,"Zayed 1st St, Khalidiya",Abu Dhabi,02 6666666,Dental Clinics
Al Kamal Medical Centre,"Block 'B', Al Jernain Tower, Khalidiya",Abu Dhabi,02 6666666,"Dental Clinics, General Clinics"
Al Karama Medical Clinic,"Near Baniyas Mall, Baniyas East",Abu Dhabi,02 5888888,"Dental Clinics, Clinics, Corporate Health Packages Clinics"
Al Kenan Dental Clinic,"Floor O,C 13, Liwa Centre, Hamdan St, Al Markaziyah",Abu Dhabi,02 6333333,"Dental Clinics, Dental Doctors, Dental Orthodontics"
Al Noaman Dental Centre,"Near All Prints Bldg, Al Nasr St",Abu Dhabi,02 6333333,Dental Clinics
Al Qudwah Clinic,"101, Al Sagaf Fashion Shop Bldg, Near Etisalat Bldg, Electra Rd",Abu Dhabi,02 6222222,Dental Clinics
Al Safwa Specialized Dental Clinic,"603, Marjan Plaza, Opp Hamdan Centre, Hamdan St",Abu Dhabi,02 6222222,Dental Clinics
Al Thuraya Dental and Implant Center,"Airport Rd, Delma St",Abu Dhabi,02 4444444,Dental Clinics
Al Worood Medical and Dental Center,"203, NEXT Bldg, Najda St",Abu Dhabi,02 6333333,Dental Clinics
American Dental Center,"305, Mothercare Building, Office # 305, Hamdan Street, Al Markaziyah, Abu Dhabi City",Abu Dhabi,02 6222222,Dental Clinics
Ansam Dental Clinic,"Opp Sands Hotel, Electra St",Abu Dhabi,02 6333333,Dental Clinics
Appolonia Dental Center,"K M Trading Bldg, Opp Sheraton Residence, Khalidiya",Abu Dhabi,02 6666666,Dental Clinics
Asmat Dental Clinic,"102, Mandoos Bldg, Bhnd Chamber of Commerce, Corniche",Abu Dhabi,02 6222222,Dental Clinics
Ayman Dental Clinic,"3rd Flr, Cash Club Bldg, Near Abu Dhabi Co-op, Khalifa St",Abu Dhabi,02 6222222,Dental Clinics
Barbara Orthodontic And Dental Polyclinic,"El Etihad Bldg, Bhnd NBAD Bldg, Khalifa St",Abu Dhabi,02 6222222,"Dental Clinics, Dental Doctors, Dental Orthodontics"
Besiso Dental Clinic,"Opp Khalifa Committee, Corniche Rd",Abu Dhabi,02 6333333,Dental Clinics
British Dental Clinic,"3rd Flr, Bin Ham Bldg, Hamdan St",Abu Dhabi,02 6777777,Dental Clinics
Care Well Medical Centre,"1st Flr, Natl Cinema Bldg, Najda St",Abu Dhabi,02 6777777,"Dental Clinics, General Clinics, General Doctors"
Creative Dental Laboratory,Hamdan Str,Abu Dhabi,02 6333333,Dental Clinics
Daou Dental Centre,"3, Avis Bldg, Opp ABN Amro Bank, Istiqlal St",Abu Dhabi,02 6333333,Dental Clinics
daVinci Dental Clinic,"Marina Village 1, Break Water, Commercial Area Behind Marina Mall",Abu Dhabi,02 2222222,Dental Clinics
Dentacare Clinic,"202, Bin Moosa Tower, Opp Liwa Centre, Hamdan St",Abu Dhabi,02 6222222,Dental Clinics
Diamond Dental Clinic,"104, La Marquise Bldg, Intersection of Salam & Hamdan St",Abu Dhabi,02 6777777,Dental Clinics
Duo Prime Care Medical Center Sole Proprietorship LLC,"M 1, Building 9, Opp KM Trading, Ar Rasin 2 St, Musaffah, Sanaiyah",Abu Dhabi,02 5555555,"Dental Clinics, Internal Medicine Clinic, Thyroid Clinic"
Elisabeth Dental Clinic, Dr,"Corniche Residence Bldg, Corniche Rd",Abu Dhabi,02 6222222,Dental Clinics
Elite Dental Lab,"TNT Bldg, Opp Sheraton Hotel, Khalifa St",Abu Dhabi,02 6777777,"Dental Clinics, Dental Laboratories"
