Clinic Name,Location,City,Phone,Products & Services
Elegant Dental Clinic LLC,"Office 103, Tower 1, Al Saheel Tower, Ettihad Street, Al Nahda 1",Dubai,04 8786959,"Dental Clinics, Dental Jewellery, Pediatric Dentist"
Al Abrah Clinic,"804, Centurion Star Tower, 34 Street, Port Saeed, Opposite Deira City Center",Dubai,04 2368686,"Dental Clinics, Dental Implant, Dental Orthodontics"
Al Fahim Clinic,"Gift Land Bldg, Sabakha Rd, Deira",Dubai,04 2275555,"Dental Clinics, General Clinics, Gynecologists and Obstetricians Doctors"
Al Yasmeen Dental Clinic,"M Flr, Opp Ali Pharmacy, Muraqqabat St, Deira",Dubai,04 2662662,Dental Clinics
Al Zahra Pvt Medical Centre,"Near to Mashreq Metro Station, Al Barsha",Dubai,04 3315000,"Dental Clinics, General Clinics, Ophthalmology Clinics"
Alabama Dental Center,"Al Manara Junction, Al Wasl Rd",Dubai,04 3944444,Dental Clinics
Amal Specialized Dental Clinic,"4th Flr, Crowne Plaza Comml Bldg, Sh Zayed Rd",Dubai,04 3322226,Dental Clinics
American Dental Clinic,"Villa 54, Opp Dubai Islamic Bank, Jumeirah Beach Rd",Dubai,04 3440668,Dental Clinics
American Medical & Dental Center,"1002, Block A, Al Razi Bldg, Bldg 64, DHC",Dubai,04 3755391,Dental Clinics
Amiruddin's Clinic, Dr,"Near Hor Al Anz Post Office, Deira",Dubai,04 2622222,Dental Clinics
Anand Shenoy's Dental Clinic,"Baskin Robbins Bldg, Al Diyafah St, Satwa",Dubai,04 3455555,Dental Clinics
Ara's Dental Clinic, Dr,"307, Dana Plaza, Al Maktoum St, Deira",Dubai,04 2222222,Dental Clinics
Arwa Dental Clinic,"602, 6th Floor, Al Wahda Building, Port Saeed, Deira",Dubai,04 2944444,Dental Clinics
Aseel Al Kubaisi Dental Clinic, Dr,"112, Al Bassam Bldg, Abu Baker Rd, Deira",Dubai,04 2666666,Dental Clinics
Ashokan Medical Clinic,"302, Al Lootha Bldg, Naif Rd, Deira",Dubai,04 2722222,"Dental Clinics, Ophthalmology Clinics"
Bamboat Dental Clinic,Shk Zayed Rd,Dubai,04 3211111,Dental Clinics
Bin Arab Dental Centre,"Villa 697, Jumeirah Rd",Dubai,04 3444444,"Dental Clinics, Dental Doctors"
Bin Belaila Specialised Dental Clinic,"Villa 833/A, Al Wasl Rd, Umm Sequeim 1",Dubai,04 3944444,"Dental Clinics, Dental Doctors"
Blue Dental Clinic,"Villa 579, Near University of Wollongong, Jumeirah Beach Rd",Dubai,04 3944444,Dental Clinics
British Dental Clinic,"Al Wasl Rd, Jumeirah 1",Dubai,04 3421313,Dental Clinics
Canadian Specialized Dental Center,"3019, Al Razi Bldg, Dubai Healthcare City",Dubai,04 4298228,Dental Clinics
Central Poly Clinic,"641 A, Al Ghurair Centre, Rigga St, Deira",Dubai,04 2212900,Dental Clinics
Charly Polyclinic,"Next to Sana Bldg, Karama",Dubai,04 3352722,"Dental Clinics, Acupuncture Clinics, Dental Implant"
Clover Medical Centre,"Al Ahli House, Al Amman Street, Al Nahda 2",Dubai,04 2633603,Dental Clinics
Confident Dental And Skincare Clinic,"Century Plaza, 1st Floor- Office 110, Jumeirah 1, Jumeirah Beach Road",Dubai,04 3433315,Dental Clinics
Cosmedent Clinic,"Near Capital Hotel, Mina Road, Bur Dubai",Dubai,04 3453303,Dental Clinics
CosmeSurge,"Next to Emirates Hospital, Opp Jumeirah Beach Park, Jumeirah Beach Rd",Dubai,04 3445915,"Dental Clinics, Beauty and Fitness Clinics, Cosmetic Surgery Clinics"
Counselling and Dev Clinic,"Villa No 415A, Opp Jumeirah Park, Jumeirah 3",Dubai,04 3946117,"Dental Clinics, Psychologists"
Crossroads Dental Clinic,"Office Number 505, Block A, Centurion Star Towers, Near Deira City Centre, Port Saeed",Dubai,050 2132345,Dental Clinics
Dent Care,Dubai Helathcare City,Dubai,04 4355678,Dental Clinics
Dental Art Clinic,"Between HSBC Bank & Eppco Gas Station, Jumeirah Beach Rd",Dubai,04 3944033,"Dental Clinics, Dental Implant"
Dental Hub Clinic,"201, Dusseldorf Business Point, Al Barsha 1",Dubai,04 5667788,Dental Clinics
Dental Studio,Sheikh Zayed Road,Dubai,058 5111111,Dental Clinics
Dentaline Clinic,"Green Corner Bldg, Al Rigga St, Deira",Dubai,04 2222222,Dental Clinics
Dentamax Medical Center,"Belresheed Building, Al Nahda Street, Al Qusais",Dubai,04 2678910,"Dental Clinics, Medical Centers, Dermatology"
Dentsply IH GmbH,Deira,Dubai,04 2234567,Dental Clinics
Dr (Mrs) Dina Abdulla Hmeid,"107, 1st Flr, Al Otaibeh Bldg, Net Care Clinic, Al Dhiyafah St, Satwa",Dubai,04 3988888,"Dental Clinics, Gynecology Clinics, Multispecialty Clinics"
Dr Ali Al Kaissi Dental Clinic,"506, Al Hawai Bldg, Rigga Rd, Deira",Dubai,04 2666666,Dental Clinics
Dr Biju'S Implantology Dental Clinic,City : Dubai,Dubai,04 2589012,Dental Clinics
Dr Ehab's Dental Clinic,"Villa 5, St No 8A, Off Al Diyafa Rd, Satwa",Dubai,04 3461546,"Dental Clinics, Dental Doctors"
Dr Fayez Omar Al Basha,"Villa 43, Near Mercato, Jumeirah Beach Rd",Dubai,04 3444444,"Dental Clinics, Surgeon-General and Vascular Surgery Doctors"
Dr Joy Dental Clinic,"Villa No. 1021, Al Wasl Road, Umm Suqeim 2, Jumeirah",Dubai,04 3285332,Dental Clinics
Dr Mansoori Clinic,Bhnd Deira City Centre,Dubai,04 2944444,Dental Clinics
Dr Michael's Dental Clinic,"Villa No 1020, Al Wasl Rd, Umm Suqeim 1, Jumeirah",Dubai,04 3397700,"Dental Clinics, Dentists and Dental Clinics"
Dr Narriman Nassir Dental Clinic,Deira,Dubai,04 2345678,Dental Clinics
Dr Pauls Dental Clinic,"Off 101, Al Nasr Plaza, Oud Metha",Dubai,04 3575785,"Dental Clinics, Dental Implant, Dental Orthodontics"
Dr Pauls Dental Clinic LLC,"Al Barajeel Oasis Complex, 47th Street, Mirdif",Dubai,04 3944444,"Dental Clinics, Orthodontic Services"
Dr. Ossama Bazzi Medical General Dental Clinic,"Hor Al Anz, Deira",Dubai,04 2977777,Dental Clinics
Dr.Namir Subhi Ahmed Dental Clinic,"Al maktoum Road,Al Doha Center,2nd floor flat 202,Near qatar Airways",Dubai,04 2944444,Dental Clinics
Dream Smile Dental Clinic,"Office No 106, Lille Center, Behind Whiteport Hotel",Dubai,04 5778899,"Dental Clinics, Cosmetic Dentists, General Dentistry"
DRFK Turkish International Day Surgery Center LLC,"Villa 2, Al Athar Street, Jumeirah 3",Dubai,058 8111111,"Dental Clinics, Beauty and Fitness Clinics, Healthcare"
Drs Hadi and Bergmann Dental Clinic,"Beach Centre, Jumeirah Rd, Jumeirah",Dubai,04 3444444,"Dental Clinics, General Clinics"
E Nicolas and Asp, Drs,"Near Beach Park, Jumeirah 3",Dubai,04 3444444,Dental Clinics
Emirates Diagnostic Clinic,"Union Co-operative Bldg, Satwa R/A",Dubai,04 3311111,"Dental Clinics, Ear Nose and Throat-ENT Clinics, General Clinics"
Ferdows Medical Center,"Office Number 306, B Block, Centurion Star, Port Saeed, Deira",Dubai,056 4111111,"Dental Clinics, Dermatology, Laser"
French Dental Clinic,"2026, Block 'C', Al Razi Bldg, Dubai Healthcare City",Dubai,04 4298228,Dental Clinics
German Dental & Neuromuscular Clinic,City : Dubai,Dubai,04 3755391,Dental Clinics
German Dental Oasis,"Block 2014-2017, Al Razi Bldg, Dubai Health Care City",Dubai,04 3635367,Dental Clinics
Ghodousi Medical Center,"211 B, Baniyas Complex Bldg, Baniyas Square, Deira",Dubai,04 2222222,Dental Clinics
Go Dental Clinic,"Flat No. 315, 317, Al Attar Centre, Block A, 3rd Floor, Karama",Dubai,04 3979522,Dental Clinics
