#,Clinic Name,City,Phone (raw),Services
1,Dr Pauls Dental Clinic LLC,Dubai,04 3944444,"Dental Clinics, Orthodontic Services"
2,DRFK Turkish International Day Surgery Center LLC,Dubai,058 8111111,"Dental Clinics, Beauty and Fitness Clinics, Healthcare"
3,Ferdows Medical Center,Dubai,056 4111111,"Dental Clinics, Dermatology, Laser"
4,German Dental & Neuromuscular Clinic,Dubai,04 3755391,Dental Clinics
5,Ghodousi Medical Center,Dubai,04 2222222,Dental Clinics
6,Gulf Medical Centre,Dubai,04 2626000,"Dental Clinics, General Clinics, Hospitals"
7,Hadiya Dental Center,Dubai,04 2898888,Dental Clinics
8,Hamly Medical Centre,Dubai,04 3355555,"Dental Clinics, Dental Doctors"
9,Harmony Medical Center LLC,Dubai,04 3944444,Dental Clinics
10,Helmi's Specialized Implantology and Dental Center,"M 13, Arabilla Bldg, Abv Dubai Bank, Al Whida St, Deira",Dubai,04 2666666
11,Hibah Shata Specialized Dental Clinic,"505, Al Wahda Bldg, Port Saeed, Deira",Dubai,04 2977777
12,Hollywod Smile Clinic,Dubai,04 4298228,Dental Clinics
13,Hollywood Smile Dental Clinic,Dubai,04 3575785,Dental Clinics
14,Ibn Seina Medical Centre,Dubai,04 2222222,"Dental Clinics, General Clinics"
15,Joseph Ghrayeb Medical Centre,"110, Zabeel Bldg, Near GPO, Karama",Dubai,04 3355555
16,Jumeira Beach Dental Centre,Dubai,04 3444444,Dental Clinics
17,Khyber Medical Centre,Dubai,058 5111111,"Dental Clinics, General Clinics"
18,La Perla Dental Clinic DMCC,Dubai,04 4355678,"Dental Clinics, Dental Implant, Dental Laser"
19,Leila Hariri Dental & Medical Aesthetics,Dubai,04 3444444,"Dental Clinics, Beauty and Fitness Clinics, Cosmetic Surgery Clinics"
20,Luxe Dental Clinic,Dubai,04 3575785,"Dental Clinics, Dental Doctors, Cosmetic Dentists"
21,Majed Al Azawi Orthodontic and Dental Center,"Popeyes Bldg, Rigga St, Deira",Dubai,04 2222222
22,McBody Clinic LLC,Dubai,04 3888888,"Dental Clinics, Clinics, Cosmetic Surgery Clinics"
23,Modern Dental Clinic,Dubai,04 3635367,"Dental Clinics, Cosmetic Surgery Clinics"
24,Mohamed Iqbal Homeopathiq Medical Center, Karama,Dubai,04 3977555
25,Pearl Medical Clinic,Dubai,04 2222222,"Dental Clinics, Dental Implant, Dental Laser"
26,Pretty Smile Dental Clinic,Dubai,04 8888888,Dental Clinics
27,Providence Dental Centre,Dubai,04 3977555,Dental Clinics
28,Reveal Medical Center,Dubai,04 3855555,Dental Clinics
29,Samaa Medical Centre,Dubai,04 3944444,"Dental Clinics, Multispecialty Clinics, Specialized Clinic"
30,Sameday Dental Implants,Dubai,04 3156000,Dental Clinics
31,Seven Dental Centre,Dubai,04 3944444,Dental Clinics
32,Sky Clinic Dental Center JLT,Dubai,04 3555555,Dental Clinics
33,Smile Care Clinic,Dubai,04 3444444,Dental Clinics
34,Swaid Orthodontic Clinic,Dubai,04 3444444,"Dental Clinics, Cosmetic Surgery Clinics, Dental Doctors"
