Clinic Name,Location,City,Phone,Products & Services
Adnan Ballout Clinic, Dr,"1st Flr, Albanna Plaza Bldg, Jamal Abdul Naser St",Sharjah,06 5533333,Dental Clinics
Ahlan Medical Center,"Al Jabri Building, Al Nahda Sharjah, Opp Sahara Centre",Sharjah,06 5533333,Dental Clinics
Al Afdal Medical Centre,"Al Mahatta, Qasmiya",Sharjah,06 5533333,"Dental Clinics, Medical Centres"
Al Jawhara Medical Center,"16, Al Bana Bldg, Jamal Abdul Nasser Rd",Sharjah,06 5533333,Dental Clinics
Al Jazeerah Dental Clinic,"Sh Mohd Qasimi Bldg, Al Khan Rd",Sharjah,06 5533333,Dental Clinics
Al Maliky Dental Clinic,"Bhnd Sh Soud Al Qasmi Mosque, Al Wasit Rd, Al Shahba",Sharjah,06 5333333,Dental Clinics
Al Waha Medical Centre,"Opp Baby Park Center, Serkal Building, Main Road, Al Mujarrah",Sharjah,056 9111111,"Dental Clinics, Teeth Whitening, Tooth Extraction"
Al Zahra Pvt Hospital,Al Zahra Square,Sharjah,06 5633333,"Dental Clinics, Clinics, Corporate Health Packages Clinics"
Alraid Modern Medical Center,"Flat no 204, Al Ghadeer Building, Jamal Abdul Naser Street",Sharjah,06 5533333,"Dental Clinics, Cosmetic Surgery Clinics, Medical Centres"
Amal Abdel Kader Dental Clinic,"803, Al Durrah Tower, Buhairah Corniche",Sharjah,06 5533333,Dental Clinics
Annie Dental Clinic,"104, Al Jabiri Bldg, Opp Etisalat, Abu Shagara",Sharjah,06 5533333,Dental Clinics
Dablan Dental Clinic,"JVC Bldg, Al Wahda St",Sharjah,06 5533333,Dental Clinics
Davis Dental Clinic,"301, Corniche Plaza 1, Al Buhairah",Sharjah,06 5733333,Dental Clinics
Delta Medical Clinic,"204, Al Ghuwair Tower, Bhnd UAE Exchange Centre, Rolla",Sharjah,06 5633333,Dental Clinics
Diana Dental Clinic,"406, Al Ghuwair Tower, Bhnd UAE Exchange, Rolla",Sharjah,06 5633333,Dental Clinics
Doctors Medical Centre,"Thomas Cook Al Rostamani Bldg, Al Arouba St, Rolla",Sharjah,06 5633333,Dental Clinics
Dr. Ahmed Yousry Specialized Dental Clinic,"Flat 505, 5th Floorm BelResheed Tower-1, Al Majaz",Sharjah,06 5733333,Dental Clinics
German Pearl Specialist Dental Clinic,"Flat No 1303, 13th Floor, Bel Rasheed Building, Phoenix St",Sharjah,06 5733333,Dental Clinics
Hannover Medical Center,"Office Number 301, ASAS Tower, Al Khan Corniche",Sharjah,06 5433333,"Dental Clinics, Medical Centres, Aesthetics Wellness Clinic"
Joseph Dental Clinic, Dr,"Beside Giant S/Market, Jamal Abdul Nasser St",Sharjah,06 5533333,Dental Clinics
Jumana Dental Clinic,"Al Dar Bldg, Immigration Rd, Abu Shagara",Sharjah,06 5533333,Dental Clinics
Knan Dental Clinic,"Jamal Abdul Nasser St, Majaz Park",Sharjah,06 5533333,Dental Clinics
Lyla Dental Clinic,"209, UAE Exchange Bldg, Rolla",Sharjah,06 5633333,Dental Clinics
Mampilly Clinic,"1st Floor, Sharjah Gold Center Bldg, Next to KM Trading, Rolla",Sharjah,06 5633333,"Dental Clinics, General Clinics, Ophthalmology Clinics"
Mohd Ahamad Ali Dental Clinic, Dr,"105, Al Shamsi Bldg 4, Jamal Abdul Nasser St",Sharjah,06 5533333,Dental Clinics
Mohd Tharwat Dental Clinic, Dr,"Al Fardan Exchange Bldg, Near Clock Tower",Sharjah,06 5633333,Dental Clinics
Mouen Junblat Medical Centre, Dr,"15, Union Pharmacy Bldg, Jamal Abdul Nasser St",Sharjah,06 5533333,Dental Clinics
Nahar Mampilly Medical Centre,"Near Cricket Stadium, Al Shahba",Sharjah,06 5633333,"Dental Clinics, Ear Nose and Throat-ENT Clinics, Ophthalmology Clinics"
New Canadian Dental Clinic,"10, Yousufi Bldg, Al Majaz Park Southern St, Corniche St",Sharjah,06 5533333,Dental Clinics
Sabah Anwar Yousuf Clinic, Dr,"1, Day to Day Bldg, Al Arooba St, Rolla",Sharjah,06 5633333,Dental Clinics
Sadeq Al Sahaf, Dr,"Near City Centre, Al Wahda St",Sharjah,06 5333333,Dental Clinics
Sasil's Dental Clinic,"204, UAE Exchange Centre, Bank St, Rolla",Sharjah,06 5633333,Dental Clinics
Shanthi Medical Centre,"Al Buhaira Building, Al Esiqlal Street, Abu Shagara",Sharjah,06 5533333,"Dental Clinics, Gynecology Clinics, Homeopathy Clinics"
Tehran Clinic,"Bank Sedarat Iran Bldg, Al Arooba St",Sharjah,06 5633333,Dental Clinics
Venecia Dental Clinic,"Office Number 604, Bel Rasheed Tower, Buhairah Corniche, Al Majaz 1",Sharjah,056 9111111,"Dental Clinics, Braces, Teeth Whitening"
Wahib Abu Baker Dental Clinic, Dr,"Masafi Pharmacy Bldg, Al Wahda St",Sharjah,06 5733333,Dental Clinics
Zeid Jawad Clinic, Dr,"1st Flr, Manal Pharmacy Bldg, Opp Al Zahra Hospital, Clock Tower R/A",Sharjah,06 5633333,Dental Clinics
CosmeSurge,"Near Coral Beach Hotel, Corniche Rd",Sharjah,06 5233333,"Dental Clinics, Beauty and Fitness Clinics, Cosmetic Surgery Clinics"
